#
# U.S. Geological Survey, National Water Information System
# Surface water measurements
#
# Retrieved: 2017-04-08 23:14:38 EDT     (sdww01)
#
# Further descriptions of the columns and codes used can be found at:
# https://help.waterdata.usgs.gov/output-formats#streamflow_measurement_data
#
# Data for the following 1 site(s) are contained in this file
#  USGS 13203510 BOISE R BL DIVERSION DAM NR BOISE ID
# -----------------------------------------------------------------------------------
#
#
agency_cd	site_no	measurement_nu	measurement_dt	tz_cd	q_meas_used_fg	party_nm	site_visit_coll_agency_cd	gage_height_va	discharge_va	current_rating_nu	shift_adj_va	diff_from_rating_pc	measured_rating_diff	gage_va_change	gage_va_time	control_type_cd	discharge_cd	chan_nu	chan_name	meas_type	streamflow_method	velocity_method	chan_discharge	chan_width	chan_area	chan_velocity	chan_stability	chan_material	chan_evenness	long_vel_desc	horz_vel_desc	vert_vel_desc	chan_loc_cd	chan_loc_dist
5s	15s	6s	19d	12s	1s	12s	5s	12s	12s	4s	6s	6s	12s	7s	6s	21s	15s	11n	64s	4s	5s	5s	14s	14s	14s	14s	4s	4s	4s	12s	9s	12s	7s	14s
USGS	13203510	1	1986-09-10 11:30:00	MDT	Yes	JTB/FWY	USGS	7.54	1250				Good	0.00	0.80		MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1250	160	320	3.90	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	2	1986-10-14 12:40:00	MDT	Yes	FWY	USGS	5.75	149				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	149	90.0	114	1.30	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	3	1986-10-29 10:52:00	MST	Yes	SCC	USGS	6.56	474				Good	0.05	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	474	100	168	2.80	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	4	1986-10-29 11:50:00	MST	Yes	SCC	USGS	6.58	506				Good	0.01	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	506	101	138	3.67	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	5	1986-10-30 12:35:00	MST	Yes	LJD/ELY	USGS	7.27	980				Good	0.00	1.20	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	980	125	280	3.50	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	6	1986-10-31 12:15:00	MST	Yes	LJD/ELY	USGS	7.62	1330				Good	-0.07	1.20	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1330	136	343	3.88	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	7	1986-12-09 14:15:00	MST	Yes	ELY/JTB	USGS	7.59	1340				Good	-0.01	0.70	Clear	MEAS	1	Imported Channel 1	BOAT	unspe	unkno	1340	136	341	3.93	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	8	1987-01-12 13:50:00	MST	Yes	FWY/DED	USGS	6.02	181				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	181	86.0	83.9	2.16	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	9	1987-02-02 10:21:00	MST	Yes	FWY	USGS	6.12	173				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	173	92.0	78.9	2.19	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	10	1987-02-10 14:20:00	MST	Yes	FWY	USGS	6.01	146				Fair	0.00	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	146	90.0	75.3	1.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	11	1987-03-09 10:09:00	MST	Yes	FWY	USGS	5.95	164				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	164	89.0	78.0	2.10	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	12	1987-04-01 16:51:00	MST	Yes	FWY	USGS	6.01	155				Good	-0.02	0.50		MEAS	1	Imported Channel 1	WADE	unspe	unkno	155	91.0	83.3	1.86	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	13	1987-04-14 08:25:00	MDT	Yes	DMK	USGS	6.85	553				Fair	-0.02	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	553	120	1.88	2.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	14	1987-04-16 10:15:00	MDT	Yes	RWL	USGS	7.65	1220				Good	0.01	1.10		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1220	132	304	4.01	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	15	1987-04-22 14:50:00	MDT	Yes	FWY/DED	USGS	8.05	1780				Good	0.02	1.30		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1780	136	360	4.94	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	16	1987-05-04 10:50:00	MDT	Yes	FWY	USGS	8.00	1800				Good	0.00	1.10		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1800	134	352	5.11	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	17	1987-05-27 09:40:00	MDT	Yes	FWY	USGS	7.71	1450				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1450	135	320	4.53	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	18	1987-06-25 12:40:00	MDT	Yes	FWY	USGS	7.74	1500				Good	0.00	1.10	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1500	133	318	4.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	19	1987-08-11 12:00:00	MDT	Yes	DMK	USGS	7.71	1460				Fair	0.00	0.60	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1460	135	317	4.61	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	20	1987-09-18 10:23:00	MDT	Yes	FWY	USGS	7.17	853				Good	-0.02	0.90	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	853	118	240	3.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	21	1987-10-20 13:14:00	MDT	Yes	FWY	USGS	5.85	182				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	182	87.0	123	1.48	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	22	1987-11-30 14:25:00	MST	Yes	ELY	USGS	5.71	158				Good			Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	158	89.0	90.1	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	23	1987-12-14 11:00:00	MST	Yes	FWY/KDR	USGS	5.68	149				Good	0.00	0.70	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	149	87.0	91.8	1.62	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	24	1988-01-20 15:17:00	MST	Yes	FWY/KDR	USGS	5.81	132				Good	0.05	0.50	IceShore	MEAS	1	Imported Channel 1	WADE	unspe	unkno	132	82.0	84.9	1.55	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	25	1988-02-02 13:38:00	MST	Yes	FWY	USGS	5.71	119				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	119	86.0	68.1	1.75	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	26	1988-02-11 13:30:00	MST	Yes	FWY	USGS	5.71	123				Fair	0.00	0.50	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	123	83.0	69.4	1.77	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	27	1988-02-26 14:21:00	MST	Yes	FWY	USGS	5.74	144				Good	0.00	0.60	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	144	84.0	83.8	1.72	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	28	1988-03-18 09:40:00	MST	Yes	KDR	USGS	5.82	191				Good	-0.04	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	191	86.0	107	1.78	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	29	1988-04-07 09:15:00	MDT	Yes	FWY	USGS	6.48	493				Good	0.01	0.90	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	493	106	186	2.65	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	30	1988-04-21 11:00:00	MDT	Yes	KDR	USGS	7.63	1360				Good	0.50	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1360	133	287	4.74	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	31	1988-05-06 14:27:00	MDT	Yes	FWY	USGS	7.86	1670				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1670	137	334	5.00	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	32	1988-05-18 10:20:00	MDT	Yes	KDR	USGS	8.00	1730				Good	0.01	1.80	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1730	137	340	5.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	33	1988-06-03 15:00:00	MDT	Yes	FWY	USGS	7.83	1610				Unspecified	-0.01	1.00		MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1610	136	316	5.09	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	34	1988-07-14 11:00:00	MDT	Yes	KDR	USGS	7.59	1330				Good	-0.01	1.50	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1330	131	289	4.60	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	35	1988-08-25 11:45:00	MDT	Yes	KDR	USGS	7.47	1130				Good	-0.01	1.30	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	1130	131	271	4.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	36	1988-09-06 10:45:00	MDT	Yes	KDR	USGS	6.85	602				Good	0.00	1.00	Clear	MEAS	1	Imported Channel 1	CWAY	unspe	unkno	602	115	190	3.17	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
USGS	13203510	37	1988-10-06 10:45:00	MDT	Yes	KDR	USGS	6.08	261				Good	0.00	0.80	Clear	MEAS	1	Imported Channel 1	WADE	unspe	unkno	261	100	148	1.76	UNSP	UNSP	UNSP	unkn	UNSP	UNSP	UNSP	
